Sum of Age,Age-Demograph,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,Education_Description,EducationField,Sum of EmployeeCount,Sum of EmployeeNumber,Sum of EnvironmentSatisfaction,Name,Last_name,First_name,Gender,Environment_Satisfaction_Description,Job_Involvement_description,Sum of HourlyRate,Job_Level_Description,Job_Satisfaction__description,Sum of JobInvolvement,Sum of JobLevel,JobRole,MaritalStatus,Sum of JobSatisfaction,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,performance_rate_description,Sum of PerformanceRating,promotion_desciption,relation_satisfaction_description,Sum of RelationshipSatisfaction,Sum of StandardHours,Stock_Option_Level_description,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Work_life_balance_description,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
27,25-35,No,Travel_Rarely,1130,Sales,8,4,Master,Marketing,1,458,2,Dorothia Rhyis,Rhyis,Dorothia,Female,Medium,High,56,Junior,Medium,3,2,Sales Executive,Married,2,6214,3415,1,Y,No,18,excellent,3,Not promoted,Low,1,80,Silver,1,8,3,Better,3,8,7,0,7
37,36-45,No,Travel_Rarely,1192,Research & Development,5,2,College,Medical,1,460,4,Dameer Kellar,Kellar,Dameer,Male,Very High,High,61,Junior,Very High,3,2,Manufacturing Director,Divorced,4,6347,23177,7,Y,No,16,excellent,3,Not promoted,High,3,80,Gold,2,8,2,Good,2,6,2,0,4
38,36-45,No,Travel_Rarely,343,Research & Development,15,2,College,Life Sciences,1,461,3,Sumukh Reyli,Reyli,Sumukh,Male,High,Midium,92,Senior,Very High,2,3,Research Director,Divorced,4,11510,15682,0,Y,Yes,14,excellent,3,Was promoted,Medium,2,80,Silver,1,12,3,Better,3,11,10,2,9
31,25-35,No,Travel_Rarely,1232,Research & Development,7,4,Master,Medical,1,462,3,Akhila Soufiane,Soufiane,Akhila,Female,High,High,39,Senior,Very High,3,3,Manufacturing Director,Single,4,7143,25713,1,Y,Yes,14,excellent,3,Was promoted,High,3,80,None,0,11,2,Good,2,11,9,4,10
29,25-35,No,Travel_Rarely,144,Sales,10,1,School,Marketing,1,463,4,Gretchin Pinkney,Pinkney,Gretchin,Female,Very High,Midium,39,Junior,Medium,2,2,Sales Executive,Divorced,2,8268,11866,1,Y,Yes,14,excellent,3,Was promoted,Low,1,80,Gold,2,7,2,Better,3,7,7,1,7
35,25-35,No,Travel_Rarely,1296,Research & Development,5,4,Master,Technical Degree,1,464,3,Travell Krishan,Krishan,Travell,Male,High,High,62,Senior,Medium,3,3,Manufacturing Director,Single,2,8095,18264,0,Y,No,13,excellent,3,Not promoted,Very High,4,80,None,0,17,5,Better,3,16,6,0,13
23,Under-20,No,Travel_Rarely,1309,Research & Development,26,1,School,Life Sciences,1,465,3,Emerik Ewell,Ewell,Emerik,Male,High,High,83,Entry Level,Very High,3,1,Research Scientist,Divorced,4,2904,16092,1,Y,No,12,excellent,3,Not promoted,High,3,80,Gold,2,4,2,Good,2,4,2,0,2
41,36-45,No,Travel_Rarely,483,Research & Development,6,3,Bachelor,Medical,1,466,4,Jasik Keener,Keener,Jasik,Male,Very High,Midium,95,Junior,Medium,2,2,Manufacturing Director,Single,2,6032,10110,6,Y,Yes,15,excellent,3,Was promoted,Very High,4,80,None,0,8,3,Better,3,5,4,1,2
47,46-55,No,Travel_Frequently,1309,Sales,4,1,School,Medical,1,467,2,Corgan Merel,Merel,Corgan,Male,Medium,High,99,Junior,High,3,2,Sales Representative,Single,3,2976,25751,3,Y,No,19,excellent,3,Not promoted,Low,1,80,None,0,5,3,Better,3,0,0,0,0
42,36-45,No,Travel_Rarely,810,Research & Development,23,5,Doctor,Life Sciences,1,468,1,Mhairi Jaybin,Jaybin,Mhairi,Female,Low,High,44,Team Lead,Very High,3,4,Research Director,Single,4,15992,15901,2,Y,No,14,excellent,3,Not promoted,Medium,2,80,None,0,16,2,Better,3,1,0,0,0
29,25-35,No,Non-Travel,746,Sales,2,3,Bachelor,Life Sciences,1,469,4,Kiril Serge,Serge,Kiril,Male,Very High,High,61,Junior,High,3,2,Sales Executive,Married,3,4649,16928,1,Y,No,14,excellent,3,Not promoted,Low,1,80,Silver,1,4,3,Good,2,4,3,0,2
42,36-45,No,Travel_Rarely,544,Human Resources,2,1,School,Technical Degree,1,470,3,Jexiel Jerret,Jerret,Jexiel,Male,High,High,52,Entry Level,High,3,1,Human Resources,Divorced,3,2696,24017,0,Y,Yes,11,excellent,3,Was promoted,High,3,80,Silver,1,4,5,Better,3,3,2,1,0
32,25-35,No,Travel_Rarely,1062,Research & Development,2,3,Bachelor,Medical,1,471,3,Tationa Shayne,Shayne,Tationa,Female,High,High,75,Entry Level,Medium,3,1,Laboratory Technician,Married,2,2370,3956,1,Y,No,13,excellent,3,Not promoted,High,3,80,Silver,1,8,4,Better,3,8,0,0,7
48,46-55,No,Travel_Rarely,530,Sales,29,1,School,Medical,1,473,1,Jolynne Leium,Leium,Jolynne,Female,Low,High,91,Senior,High,3,3,Manager,Married,3,12504,23978,3,Y,No,21,outstanding,4,Not promoted,Medium,2,80,Silver,1,15,3,Bad,1,0,0,0,0
37,36-45,No,Travel_Rarely,1319,Research & Development,6,3,Bachelor,Medical,1,474,3,Noeh Jdon,Jdon,Noeh,Male,High,Very High,51,Junior,Low,4,2,Research Scientist,Divorced,1,5974,17001,4,Y,Yes,13,excellent,3,Was promoted,Low,1,80,Gold,2,13,2,Better,3,7,7,6,7
30,25-35,No,Non-Travel,641,Sales,25,2,College,Technical Degree,1,475,4,Akieba Bourne,Bourne,Akieba,Female,Very High,High,85,Junior,High,3,2,Sales Executive,Married,3,4736,6069,7,Y,Yes,12,excellent,3,Was promoted,Medium,2,80,Silver,1,4,2,Best,4,2,2,2,2
26,25-35,No,Travel_Rarely,933,Sales,1,3,Bachelor,Life Sciences,1,476,3,Kedrick Montrell,Montrell,Kedrick,Male,High,High,57,Junior,High,3,2,Sales Executive,Married,3,5296,20156,1,Y,No,17,excellent,3,Was promoted,Medium,2,80,Silver,1,8,3,Better,3,8,7,7,7
42,36-45,No,Travel_Rarely,1332,Research & Development,2,4,Master,Other,1,477,1,Doss Kostantinos,Kostantinos,Doss,Male,Low,Midium,98,Junior,Very High,2,2,Healthcare Representative,Single,4,6781,17078,3,Y,No,23,outstanding,4,Not promoted,Medium,2,80,None,0,14,6,Better,3,1,0,0,0
21,Under-20,Yes,Travel_Frequently,756,Sales,1,1,School,Technical Degree,1,478,1,Danyetta Adhrith,Adhrith,Danyetta,Female,Low,Midium,99,Entry Level,Medium,2,1,Sales Representative,Single,2,2174,9150,1,Y,Yes,11,excellent,3,Was promoted,High,3,80,None,0,3,3,Better,3,3,2,1,2
36,36-45,No,Non-Travel,845,Sales,1,5,Doctor,Medical,1,479,4,Shanquita Nisarg,Nisarg,Shanquita,Female,Very High,High,45,Junior,Very High,3,2,Sales Executive,Single,4,6653,15276,4,Y,No,15,excellent,3,Not promoted,Medium,2,80,None,0,7,6,Better,3,1,0,0,0
36,36-45,No,Travel_Frequently,541,Sales,3,4,Master,Medical,1,481,1,Nicolo Kostantinos,Kostantinos,Nicolo,Male,Low,Midium,48,Senior,Very High,2,3,Sales Executive,Married,4,9699,7246,4,Y,No,11,excellent,3,Was promoted,Low,1,80,Silver,1,16,2,Better,3,13,9,1,12
57,Over-55,No,Travel_Rarely,593,Research & Development,1,4,Master,Medical,1,482,4,Jonahan Kolbey,Kolbey,Jonahan,Male,Very High,High,88,Junior,High,3,2,Healthcare Representative,Married,3,6755,2967,2,Y,No,11,excellent,3,Was promoted,High,3,80,None,0,15,2,Better,3,3,2,1,2
40,36-45,No,Travel_Rarely,1171,Research & Development,10,4,Master,Life Sciences,1,483,4,Shenyah Brayam,Brayam,Shenyah,Female,Very High,Very High,46,Entry Level,High,4,1,Laboratory Technician,Married,3,2213,22495,3,Y,Yes,13,excellent,3,Was promoted,High,3,80,Silver,1,10,3,Better,3,7,7,1,7
21,Under-20,No,Non-Travel,895,Sales,9,2,College,Medical,1,484,1,Wyndell Damin,Damin,Wyndell,Male,Low,High,39,Entry Level,Very High,3,1,Sales Representative,Single,4,2610,2851,1,Y,No,24,outstanding,4,Was promoted,High,3,80,None,0,3,3,Good,2,3,2,2,2
33,25-35,Yes,Travel_Rarely,350,Sales,5,3,Bachelor,Marketing,1,485,4,Tomorra Demetrick,Demetrick,Tomorra,Female,Very High,High,34,Entry Level,High,3,1,Sales Representative,Single,3,2851,9150,1,Y,Yes,13,excellent,3,Not promoted,Medium,2,80,None,0,1,2,Better,3,1,0,0,0
37,36-45,No,Travel_Rarely,921,Research & Development,10,3,Bachelor,Medical,1,486,3,Zikiria Karandeep,Karandeep,Zikiria,Female,High,High,98,Entry Level,Low,3,1,Laboratory Technician,Married,1,3452,17663,6,Y,No,20,outstanding,4,Not promoted,Medium,2,80,Silver,1,17,3,Better,3,5,4,0,3
46,46-55,No,Non-Travel,1144,Research & Development,7,4,Master,Medical,1,487,3,Lateashia Manford,Manford,Lateashia,Female,High,High,30,Junior,High,3,2,Manufacturing Director,Married,3,5258,16044,2,Y,No,14,excellent,3,Not promoted,High,3,80,None,0,7,2,Best,4,1,0,0,0
41,36-45,Yes,Travel_Frequently,143,Sales,4,3,Bachelor,Marketing,1,488,1,Tywone Dayvon,Dayvon,Tywone,Male,Low,High,56,Junior,Medium,3,2,Sales Executive,Single,2,9355,9558,1,Y,No,18,excellent,3,Was promoted,High,3,80,None,0,8,5,Better,3,8,7,7,7
50,46-55,No,Travel_Rarely,1046,Research & Development,10,3,Bachelor,Technical Degree,1,491,4,Rye Emran,Emran,Rye,Male,Very High,Midium,100,Senior,Very High,2,3,Healthcare Representative,Single,4,10496,2755,6,Y,No,15,excellent,3,Was promoted,Very High,4,80,None,0,20,2,Better,3,4,3,1,3
40,36-45,Yes,Travel_Rarely,575,Sales,22,2,College,Marketing,1,492,3,Autis Erminio,Erminio,Autis,Male,High,Midium,68,Junior,High,2,2,Sales Executive,Married,3,6380,6110,2,Y,Yes,12,excellent,3,Was promoted,Low,1,80,Gold,2,8,6,Better,3,6,4,1,0
31,25-35,No,Travel_Rarely,408,Research & Development,9,4,Master,Life Sciences,1,493,3,Redell Kaceson,Kaceson,Redell,Male,High,Midium,42,Entry Level,Medium,2,1,Research Scientist,Single,2,2657,7551,0,Y,Yes,16,excellent,3,Was promoted,Very High,4,80,None,0,3,5,Better,3,2,2,2,2
21,Under-20,Yes,Travel_Rarely,156,Sales,12,3,Bachelor,Life Sciences,1,494,3,Tyjana Aiyan,Aiyan,Tyjana,Female,High,Very High,90,Entry Level,Medium,4,1,Sales Representative,Single,2,2716,25422,1,Y,No,15,excellent,3,Not promoted,Very High,4,80,None,0,1,0,Better,3,1,0,0,0
29,25-35,No,Travel_Rarely,1283,Research & Development,23,3,Bachelor,Life Sciences,1,495,4,Darain Cresenciano,Cresenciano,Darain,Male,Very High,High,54,Entry Level,Very High,3,1,Research Scientist,Single,4,2201,18168,9,Y,No,16,excellent,3,Was promoted,Very High,4,80,None,0,6,4,Better,3,3,2,1,2
35,25-35,No,Travel_Rarely,755,Research & Development,9,4,Master,Life Sciences,1,496,3,Daison Merel,Merel,Daison,Male,High,Midium,97,Junior,Medium,2,2,Healthcare Representative,Single,2,6540,19394,9,Y,No,19,excellent,3,Not promoted,High,3,80,None,0,10,5,Better,3,1,1,0,0
27,25-35,No,Travel_Rarely,1469,Research & Development,1,2,College,Medical,1,497,4,Bidwell Merel,Merel,Bidwell,Male,Very High,High,82,Entry Level,Medium,3,1,Laboratory Technician,Divorced,2,3816,17881,1,Y,No,11,excellent,3,Not promoted,Medium,2,80,Silver,1,5,2,Better,3,5,2,0,4
28,25-35,No,Travel_Rarely,304,Sales,9,4,Master,Life Sciences,1,498,2,Nicolae Delos,Delos,Nicolae,Male,Medium,High,92,Junior,Very High,3,2,Sales Executive,Single,4,5253,20750,1,Y,No,16,excellent,3,Not promoted,Very High,4,80,None,0,7,1,Better,3,7,5,0,7
49,46-55,No,Travel_Rarely,1261,Research & Development,7,3,Bachelor,Other,1,499,2,Qwintin Dantre,Dantre,Qwintin,Male,Medium,Midium,31,Senior,High,2,3,Healthcare Representative,Single,3,10965,12066,8,Y,No,24,outstanding,4,Not promoted,High,3,80,None,0,26,2,Better,3,5,2,0,0
51,46-55,No,Travel_Rarely,1178,Sales,14,2,College,Life Sciences,1,500,3,Dashyra Herbey,Herbey,Dashyra,Female,High,High,87,Junior,Very High,3,2,Sales Executive,Married,4,4936,14862,4,Y,No,11,excellent,3,Not promoted,High,3,80,Silver,1,18,2,Good,2,7,7,0,7
36,36-45,No,Travel_Rarely,329,Research & Development,2,3,Bachelor,Life Sciences,1,501,4,Roz Jaybin,Jaybin,Roz,Female,Very High,High,96,Entry Level,High,3,1,Research Scientist,Married,3,2543,11868,4,Y,No,13,excellent,3,Was promoted,Medium,2,80,Silver,1,6,3,Better,3,2,2,2,2
34,25-35,Yes,Non-Travel,1362,Sales,19,3,Bachelor,Marketing,1,502,1,Fredrich Durward,Durward,Fredrich,Male,Low,Very High,67,Junior,Very High,4,2,Sales Executive,Single,4,5304,4652,8,Y,Yes,13,excellent,3,Not promoted,Medium,2,80,None,0,9,3,Good,2,5,2,0,4
55,46-55,No,Travel_Rarely,1311,Research & Development,2,3,Bachelor,Life Sciences,1,505,3,Golnaz Waris,Waris,Golnaz,Female,High,High,97,Team Lead,Very High,3,4,Manager,Single,4,16659,23258,2,Y,Yes,13,excellent,3,Was promoted,High,3,80,None,0,30,2,Better,3,5,4,1,2
24,Under-20,No,Travel_Rarely,1371,Sales,10,4,Master,Marketing,1,507,4,Annalea Apollos,Apollos,Annalea,Female,Very High,High,77,Junior,High,3,2,Sales Executive,Divorced,3,4260,5915,1,Y,Yes,12,excellent,3,Not promoted,Very High,4,80,Silver,1,5,2,Best,4,5,2,0,3
30,25-35,No,Travel_Rarely,202,Sales,2,1,School,Technical Degree,1,508,3,Gurjot Muse,Muse,Gurjot,Male,High,High,72,Entry Level,Medium,3,1,Sales Representative,Married,2,2476,17434,1,Y,No,18,excellent,3,Not promoted,Low,1,80,Silver,1,1,3,Better,3,1,0,0,0
26,25-35,Yes,Travel_Frequently,575,Research & Development,3,1,School,Technical Degree,1,510,3,Findlay Caedyn,Caedyn,Findlay,Male,High,High,73,Entry Level,Low,3,1,Research Scientist,Single,1,3102,6582,0,Y,No,22,outstanding,4,Not promoted,High,3,80,None,0,7,2,Better,3,6,4,0,4
22,Under-20,No,Travel_Rarely,253,Research & Development,11,3,Bachelor,Medical,1,511,1,Casady Apollos,Apollos,Casady,Female,Low,High,43,Entry Level,Medium,3,1,Research Scientist,Married,2,2244,24440,1,Y,No,13,excellent,3,Was promoted,Very High,4,80,Silver,1,2,1,Better,3,2,1,1,2
36,36-45,No,Travel_Rarely,164,Sales,2,2,College,Medical,1,513,2,Sriram Braheem,Braheem,Sriram,Male,Medium,Midium,61,Senior,High,2,3,Sales Executive,Married,3,7596,3809,1,Y,No,13,excellent,3,Was promoted,Medium,2,80,Gold,2,10,2,Better,3,10,9,9,0
30,25-35,Yes,Travel_Frequently,464,Research & Development,4,3,Bachelor,Technical Degree,1,514,3,Custodio Oussama,Oussama,Custodio,Male,High,High,40,Entry Level,Very High,3,1,Research Scientist,Single,4,2285,3427,9,Y,Yes,23,outstanding,4,Not promoted,High,3,80,None,0,3,4,Better,3,1,0,0,0
37,36-45,No,Travel_Rarely,1107,Research & Development,14,3,Bachelor,Life Sciences,1,515,4,Caterine Michaelchristop,Michaelchristop,Caterine,Female,Very High,High,95,Entry Level,Low,3,1,Laboratory Technician,Divorced,1,3034,26914,1,Y,No,12,excellent,3,Was promoted,High,3,80,Silver,1,18,2,Good,2,18,7,12,17
40,36-45,No,Travel_Rarely,759,Sales,2,2,College,Marketing,1,516,4,Chistie Kamil,Kamil,Chistie,Female,Very High,High,46,Junior,Medium,3,2,Sales Executive,Divorced,2,5715,22553,7,Y,No,12,excellent,3,Was promoted,High,3,80,Gold,2,8,5,Better,3,5,4,1,3
42,36-45,No,Travel_Rarely,201,Research & Development,1,4,Master,Life Sciences,1,517,2,Pearlena Veril,Veril,Pearlena,Female,Medium,High,95,Entry Level,Low,3,1,Laboratory Technician,Divorced,1,2576,20490,3,Y,No,16,excellent,3,Was promoted,Medium,2,80,Silver,1,8,5,Better,3,5,2,1,2
37,36-45,No,Travel_Rarely,1305,Research & Development,10,4,Master,Life Sciences,1,518,3,Dulton Delanor,Delanor,Dulton,Male,High,High,49,Junior,Medium,3,2,Manufacturing Director,Single,2,4197,21123,2,Y,Yes,12,excellent,3,Not promoted,Very High,4,80,None,0,18,2,Good,2,1,0,0,1
43,36-45,No,Travel_Rarely,982,Research & Development,12,3,Bachelor,Life Sciences,1,520,1,Roczen Jhaziel,Jhaziel,Roczen,Male,Low,Midium,59,Team Lead,Medium,2,4,Research Director,Divorced,2,14336,4345,1,Y,No,11,excellent,3,Was promoted,High,3,80,Silver,1,25,3,Better,3,25,10,3,9
40,36-45,No,Travel_Rarely,555,Research & Development,2,3,Bachelor,Medical,1,521,2,Vonshae Antino,Antino,Vonshae,Female,Medium,Midium,78,Junior,High,2,2,Laboratory Technician,Married,3,3448,13436,6,Y,No,22,outstanding,4,Not promoted,Medium,2,80,Silver,1,20,3,Better,3,1,0,0,0
54,46-55,No,Travel_Rarely,821,Research & Development,5,2,College,Medical,1,522,1,Yianni Dantre,Dantre,Yianni,Male,Low,High,86,Executive,Low,3,5,Research Director,Married,1,19406,8509,4,Y,No,11,excellent,3,Was promoted,High,3,80,Silver,1,24,4,Good,2,4,2,1,2
34,25-35,No,Non-Travel,1381,Sales,4,4,Master,Marketing,1,523,3,Trianna Ryden,Ryden,Trianna,Female,High,High,72,Junior,High,3,2,Sales Executive,Married,3,6538,12740,9,Y,No,15,excellent,3,Was promoted,Low,1,80,Silver,1,6,3,Better,3,3,2,1,2
31,25-35,No,Travel_Rarely,480,Research & Development,7,2,College,Medical,1,524,2,Talar Emigdio,Emigdio,Talar,Female,Medium,High,31,Junior,Low,3,2,Manufacturing Director,Married,1,4306,4156,1,Y,No,12,excellent,3,Was promoted,Medium,2,80,Silver,1,13,5,Bad,1,13,10,3,12
43,36-45,No,Travel_Frequently,313,Research & Development,21,3,Bachelor,Medical,1,525,4,Nakoa Carland,Carland,Nakoa,Male,Very High,High,61,Entry Level,Very High,3,1,Laboratory Technician,Married,4,2258,15238,7,Y,No,20,outstanding,4,Was promoted,Low,1,80,Silver,1,8,1,Better,3,3,2,1,2
43,36-45,No,Travel_Rarely,1473,Research & Development,8,4,Master,Other,1,526,3,Mirsa Deuel,Deuel,Mirsa,Female,High,High,74,Junior,High,3,2,Healthcare Representative,Divorced,3,4522,2227,4,Y,Yes,14,excellent,3,Not promoted,Very High,4,80,None,0,8,3,Better,3,5,2,0,2
25,25-35,No,Travel_Rarely,891,Sales,4,2,College,Life Sciences,1,527,2,Jaynalis Ethon,Ethon,Jaynalis,Female,Medium,Midium,99,Junior,Very High,2,2,Sales Executive,Single,4,4487,12090,1,Y,Yes,11,excellent,3,Was promoted,Medium,2,80,None,0,5,3,Better,3,5,4,1,3
37,36-45,No,Non-Travel,1063,Research & Development,25,5,Doctor,Medical,1,529,2,Lonika Kylematthew,Kylematthew,Lonika,Female,Medium,High,72,Junior,High,3,2,Research Scientist,Married,3,4449,23866,3,Y,Yes,15,excellent,3,Was promoted,Low,1,80,Gold,2,15,2,Better,3,13,11,10,7
31,25-35,No,Travel_Rarely,329,Research & Development,1,2,College,Life Sciences,1,530,4,Rhodell Oussama,Oussama,Rhodell,Male,Very High,Midium,98,Entry Level,Low,2,1,Laboratory Technician,Married,1,2218,16193,1,Y,No,12,excellent,3,Was promoted,High,3,80,Silver,1,4,3,Better,3,4,2,3,2
39,36-45,No,Travel_Frequently,1218,Research & Development,1,1,School,Life Sciences,1,531,2,Caileb Khair,Khair,Caileb,Male,Medium,High,52,Executive,High,3,5,Manager,Divorced,3,19197,8213,1,Y,Yes,14,excellent,3,Was promoted,High,3,80,Silver,1,21,3,Better,3,21,8,1,6
56,Over-55,No,Travel_Frequently,906,Sales,6,3,Bachelor,Life Sciences,1,532,3,Blakeley Claus,Claus,Blakeley,Female,High,Very High,86,Team Lead,Low,4,4,Sales Executive,Married,1,13212,18256,9,Y,No,11,excellent,3,Was promoted,Very High,4,80,Platinum,3,36,0,Good,2,7,7,7,7
30,25-35,No,Travel_Rarely,1082,Sales,12,3,Bachelor,Technical Degree,1,533,2,Deaija Nolin,Nolin,Deaija,Female,Medium,High,83,Junior,High,3,2,Sales Executive,Single,3,6577,19558,0,Y,No,11,excellent,3,Was promoted,Medium,2,80,None,0,6,6,Better,3,5,4,4,4
41,36-45,No,Travel_Rarely,645,Sales,1,3,Bachelor,Marketing,1,534,2,Chakotay Jaytee,Jaytee,Chakotay,Male,Medium,Very High,49,Senior,Low,4,3,Sales Executive,Married,1,8392,19566,1,Y,No,16,excellent,3,Not promoted,High,3,80,Silver,1,10,2,Better,3,10,7,0,7
28,25-35,No,Travel_Rarely,1300,Research & Development,17,2,College,Medical,1,536,3,Darwin Krystof,Krystof,Darwin,Male,High,High,79,Junior,Low,3,2,Laboratory Technician,Divorced,1,4558,13535,1,Y,No,12,excellent,3,Was promoted,Very High,4,80,Silver,1,10,2,Better,3,10,0,1,8
25,25-35,Yes,Travel_Rarely,688,Research & Development,3,3,Bachelor,Medical,1,538,1,Levii Urey,Urey,Levii,Male,Low,High,91,Entry Level,Low,3,1,Laboratory Technician,Married,1,4031,9396,5,Y,No,13,excellent,3,Not promoted,High,3,80,Silver,1,6,5,Better,3,2,2,0,2
52,46-55,No,Travel_Rarely,319,Research & Development,3,3,Bachelor,Medical,1,543,4,Oluwajoba Evran,Evran,Oluwajoba,Male,Very High,Midium,39,Senior,High,2,3,Manufacturing Director,Married,3,7969,19609,2,Y,Yes,14,excellent,3,Not promoted,High,3,80,None,0,28,4,Better,3,5,4,0,4
45,36-45,No,Travel_Rarely,192,Research & Development,10,2,College,Life Sciences,1,544,1,Savio Darrious,Darrious,Savio,Male,Low,High,69,Entry Level,Very High,3,1,Research Scientist,Married,4,2654,9655,3,Y,No,21,outstanding,4,Not promoted,Very High,4,80,Gold,2,8,3,Good,2,2,2,0,2
52,46-55,No,Travel_Rarely,1490,Research & Development,4,2,College,Life Sciences,1,546,4,Natelee Matvei,Matvei,Natelee,Female,Very High,High,30,Team Lead,Very High,3,4,Manager,Married,4,16555,10310,2,Y,No,13,excellent,3,Was promoted,Very High,4,80,None,0,31,2,Bad,1,5,2,1,4
42,36-45,No,Travel_Frequently,532,Research & Development,29,2,College,Life Sciences,1,547,1,Shaanvi Roddick,Roddick,Shaanvi,Female,Low,High,92,Junior,High,3,2,Research Scientist,Divorced,3,4556,12932,2,Y,No,11,excellent,3,Not promoted,Medium,2,80,Silver,1,19,3,Better,3,5,4,0,2
30,25-35,No,Travel_Rarely,317,Research & Development,2,3,Bachelor,Life Sciences,1,548,3,Yalia Barnard,Barnard,Yalia,Female,High,Low,43,Junior,Very High,1,2,Manufacturing Director,Single,4,6091,24793,2,Y,No,20,outstanding,4,Not promoted,High,3,80,None,0,11,2,Better,3,5,4,0,2
60,Over-55,No,Travel_Rarely,422,Research & Development,7,3,Bachelor,Life Sciences,1,549,1,Anistin Jecory,Jecory,Anistin,Female,Low,High,41,Executive,Low,3,5,Manager,Married,1,19566,3854,5,Y,No,11,excellent,3,Was promoted,Very High,4,80,None,0,33,5,Bad,1,29,8,11,10
46,46-55,No,Travel_Rarely,1485,Research & Development,18,3,Bachelor,Medical,1,550,3,Lova Eliecer,Eliecer,Lova,Female,High,High,87,Junior,High,3,2,Manufacturing Director,Divorced,3,4810,26314,2,Y,No,14,excellent,3,Not promoted,High,3,80,Silver,1,19,5,Good,2,10,7,0,8
42,36-45,No,Travel_Frequently,1368,Research & Development,28,4,Master,Technical Degree,1,551,4,Lilyen Manraj,Manraj,Lilyen,Female,Very High,Midium,88,Junior,Very High,2,2,Healthcare Representative,Married,4,4523,4386,0,Y,No,11,excellent,3,Not promoted,Very High,4,80,Platinum,3,7,4,Best,4,6,5,0,4
24,Under-20,Yes,Travel_Rarely,1448,Sales,1,1,School,Technical Degree,1,554,1,Kaliegh Bobbylee,Bobbylee,Kaliegh,Female,Low,High,62,Entry Level,Medium,3,1,Sales Representative,Single,2,3202,21972,1,Y,Yes,16,excellent,3,Was promoted,Medium,2,80,None,0,6,4,Better,3,5,3,1,4
34,25-35,Yes,Travel_Frequently,296,Sales,6,2,College,Marketing,1,555,4,Shavonte Taveres,Taveres,Shavonte,Female,Very High,Low,33,Entry Level,High,1,1,Sales Representative,Divorced,3,2351,12253,0,Y,No,16,excellent,3,Was promoted,Very High,4,80,Silver,1,3,3,Good,2,2,2,1,0
38,36-45,No,Travel_Frequently,1490,Research & Development,2,2,College,Life Sciences,1,556,4,Haralabos Amarante,Amarante,Haralabos,Male,Very High,High,42,Entry Level,Very High,3,1,Laboratory Technician,Married,4,1702,12106,1,Y,Yes,23,outstanding,4,Not promoted,High,3,80,Silver,1,1,3,Better,3,1,0,0,0
40,36-45,No,Travel_Rarely,1398,Sales,2,4,Master,Life Sciences,1,558,3,Valree Clabe,Clabe,Valree,Female,High,High,79,Executive,High,3,5,Manager,Married,3,18041,13022,0,Y,No,14,excellent,3,Was promoted,Very High,4,80,None,0,21,2,Better,3,20,15,1,12
26,25-35,No,Travel_Rarely,1349,Research & Development,23,3,Bachelor,Life Sciences,1,560,1,Latamara Lyndal,Lyndal,Latamara,Female,Low,High,90,Entry Level,Very High,3,1,Research Scientist,Divorced,4,2886,3032,1,Y,No,22,outstanding,4,Not promoted,Medium,2,80,Gold,2,3,3,Bad,1,3,2,0,2
30,25-35,No,Non-Travel,1400,Research & Development,3,3,Bachelor,Life Sciences,1,562,3,Tygan Kaleem,Kaleem,Tygan,Male,High,High,53,Entry Level,Very High,3,1,Laboratory Technician,Married,4,2097,16734,4,Y,No,15,excellent,3,Was promoted,High,3,80,Silver,1,9,3,Bad,1,5,3,1,4
29,25-35,No,Travel_Rarely,986,Research & Development,3,4,Master,Medical,1,564,2,Onkar Fuzail,Fuzail,Onkar,Male,Medium,Midium,93,Senior,High,2,3,Research Director,Married,3,11935,21526,1,Y,No,18,excellent,3,Not promoted,High,3,80,None,0,10,2,Better,3,10,2,0,7
29,25-35,Yes,Travel_Rarely,408,Research & Development,25,5,Doctor,Technical Degree,1,565,3,Greer Charlles,Charlles,Greer,Female,High,Midium,71,Entry Level,Medium,2,1,Research Scientist,Married,2,2546,18300,5,Y,No,16,excellent,3,Was promoted,Medium,2,80,None,0,6,2,Best,4,2,2,1,1
19,Under-20,Yes,Travel_Rarely,489,Human Resources,2,2,College,Technical Degree,1,566,1,Sante Keif,Keif,Sante,Male,Low,Midium,52,Entry Level,Very High,2,1,Human Resources,Single,4,2564,18437,1,Y,No,12,excellent,3,Not promoted,High,3,80,None,0,1,3,Best,4,1,0,0,0
30,25-35,No,Non-Travel,1398,Sales,22,4,Master,Other,1,567,3,Shnea Ronie,Ronie,Shnea,Female,High,High,69,Senior,Low,3,3,Sales Executive,Married,1,8412,2890,0,Y,No,11,excellent,3,Was promoted,High,3,80,None,0,10,3,Better,3,9,8,7,8
57,Over-55,No,Travel_Rarely,210,Sales,29,3,Bachelor,Marketing,1,568,1,Orian Dixon,Dixon,Orian,Male,Low,Midium,56,Team Lead,Very High,2,4,Manager,Divorced,4,14118,22102,3,Y,No,12,excellent,3,Not promoted,High,3,80,Silver,1,32,3,Good,2,1,0,0,0
